,NORAD_ID,satname,area_1,area_2,valid,program
14767,S16277,STS 61B OEX TARGET,,,,
14768,S16278,SOLWIND DEB,,,,
14769,S16279,SOLWIND DEB,,,,
14770,S16280,SOLWIND DEB,,,,
14771,S16281,SOLWIND DEB,,,,
14772,S16282,SOLWIND DEB,,,,
14773,S16283,SOLWIND DEB,,,,
14774,S16284,SOLWIND DEB,,,,
14775,S16285,COSMOS 1702 DEB,,,,
14776,S16286,COSMOS 1702 DEB,,,,
14777,S16287,COSMOS 1702 DEB,,,,
14778,S16288,COSMOS 1702 DEB,,,,
14779,S16289,COSMOS 1702 DEB,,,,
14780,S16290,COSMOS 1702 DEB,,,,
14781,S16291,COSMOS 1704,10.5,35.7,1.0,Parus
14782,S16292,SL-8 R/B,10.08,10.08,1.0,-
14783,S16293,MORELOS 2 R/B(PAM-D),2.53,2.53,1.0,-
14784,S16294,OPTUS A2 R/B(PAM-D),2.53,2.53,1.0,-
14785,S16295,SATCOM K2 R/B(PAM-D2),2.88,2.88,1.0,-
14786,S16296,COSMOS 1705,,,,
14787,S16297,SL-4 R/B,,,,
14788,S16298,SOLWIND DEB,,,,
14789,S16299,SOLWIND DEB,,,,
14790,S16300,SOLWIND DEB,,,,
14791,S16301,SOLWIND DEB,,,,
14792,S16302,SOLWIND DEB,,,,
14793,S16303,SOLWIND DEB,,,,
14794,S16304,SOLWIND DEB,,,,
14795,S16305,SL-4 DEB,,,,
14796,S16306,COSMOS 1706,,,,
14797,S16307,SL-4 R/B,,,,
14798,S16308,SOLWIND DEB,,,,
14799,S16309,SOLWIND DEB,,,,
14800,S16310,SOLWIND DEB,,,,
14801,S16311,SOLWIND DEB,,,,
14802,S16312,SOLWIND DEB,,,,
14803,S16313,SOLWIND DEB,,,,
14804,S16314,SOLWIND DEB,,,,
14805,S16315,SOLWIND DEB,,,,
14806,S16316,SOLWIND DEB,,,,
14807,S16317,SOLWIND DEB,,,,
14808,S16318,SOLWIND DEB,,,,
14809,S16319,SOLWIND DEB,,,,
14810,S16320,SOLWIND DEB,,,,
14811,S16321,SOLWIND DEB,,,,
14812,S16322,SOLWIND DEB,,,,
14813,S16323,SOLWIND DEB,,,,
14814,S16324,SOLWIND DEB,,,,
14815,S16325,SOLWIND DEB,,,,
14816,S16326,COSMOS 1707,4.16,17.03,1.0,Tselina-D
14817,S16327,SL-14 R/B,6.16,6.16,1.0,-
14818,S16328,USA 13,,,,
14819,S16329,USA 14,,,,
14820,S16330,SCOUT G-1 R/B,,,,
14821,S16331,COSMOS 1708,,,,
14822,S16332,SL-4 R/B,,,,
14823,S16333,SOLWIND DEB,,,,
14824,S16334,SOLWIND DEB,,,,
14825,S16335,SOLWIND DEB,,,,
14826,S16336,SOLWIND DEB,,,,
14827,S16337,SOLWIND DEB,,,,
14828,S16338,SOLWIND DEB,,,,
14829,S16339,SL-12 R/B(2),23.31,23.31,1.0,-
14830,S16340,SL-4 DEB,,,,
14831,S16341,SOLWIND DEB,,,,
14832,S16342,SOLWIND DEB,,,,
14833,S16343,SOLWIND DEB,,,,
14834,S16344,SOLWIND DEB,,,,
14835,S16345,SOLWIND DEB,,,,
14836,S16346,SOLWIND DEB,,,,
14837,S16347,SOLWIND DEB,,,,
14838,S16348,SOLWIND DEB,,,,
14839,S16349,SOLWIND DEB,,,,
14840,S16350,SOLWIND DEB,,,,
14841,S16351,SOLWIND DEB,,,,
14842,S16352,SOLWIND DEB,,,,
14843,S16353,COSMOS 1705 DEB,,,,
14844,S16354,COSMOS 1705 DEB,,,,
14845,S16355,COSMOS 1705 DEB,,,,
14846,S16356,COSMOS 1705 DEB,,,,
14847,S16357,COSMOS 1705 DEB,,,,
14848,S16358,COSMOS 1705 DEB,,,,
14849,S16359,COSMOS 1705 DEB,,,,
14850,S16360,SOLWIND DEB,,,,
14851,S16361,SOLWIND DEB,,,,
14852,S16362,SOLWIND DEB,,,,
14853,S16363,SOLWIND DEB,,,,
14854,S16364,SOLWIND DEB,,,,
14855,S16365,SOLWIND DEB,,,,
14856,S16366,SOLWIND DEB,,,,
14857,S16367,SOLWIND DEB,,,,
14858,S16368,COSMOS 1709,10.5,35.7,1.0,Parus
14859,S16369,SL-8 R/B,10.08,10.08,1.0,-
14860,S16370,COSMOS 1705 DEB,,,,
14861,S16371,COSMOS 1705 DEB,,,,
14862,S16372,COSMOS 1705 DEB,,,,
14863,S16373,COSMOS 1705 DEB,,,,
14864,S16374,COSMOS 1705 DEB,,,,
