#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type
science,HST,CALWF3,WFC3/IR,HST,F160W,INFRARED,GSPC-P177-D,STAR;G III-I,ifk801030,239.8047946179,47.6109431534,3,61082.0605136921,2.77815,61082.17055556,CAL/WFC3
science,HST,CALACS,ACS/WFC,HST,F502N,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,jfme02k0q,10.56057529358,85.25964211168,3,61082.1478376505,350,61082.44208336,CAL/WFC3
science,HST,CALACS,ACS/WFC,HST,FR782N,OPTICAL,GB1441+2517,GALAXY;EMISSION LINE NEBULA;SEYFERT,jfjx06010,220.295625,25.28336111111,3,61084.6581617245,4610,61266.78490738,GO
science,HST,CALACS,ACS/WFC,HST,F814W,OPTICAL,GBTDS-HD121,UNIDENTIFIED;BULGE;LOW LATITUDE FIELD,jfhl41010,267.3805629167,-30.15375833333,3,61088.1276649306,390,61088.6489236,GO
science,HST,CALACS,ACS/SBC,HST,F165LP,UV,J1331+4151,GALAXY;STARBURST,jfec07030,202.8619995833,41.8634,3,61097.1453289005,1340,61278.52851849,GO
science,HST,CALWF3,WFC3/UVIS,HST,F336W,OPTICAL,GSPC-P177-D,STAR;G III-I,ifk801080,239.8048303243,47.61164381956,3,61082.0752809028,60,61082.17391202,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,F140W,INFRARED,GSPC-P177-D,STAR;G III-I,ifk801ieq,239.809959808,47.61133057197,3,61082.0547566319,0.853027,61082.17026621,CAL/WFC3
science,HST,CALACS,ACS/WFC,HST,F606W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,jfgz48ioq,186.2848309533,12.17087993732,3,61088.5711125,0,61089.25946751,GO
science,HST,CALWF3,WFC3/UVIS,HST,F814W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,ifhl41030,267.2944550934,-30.08467145305,3,61088.1270287037,440,61088.57300919,GO
science,HST,CALWF3,WFC3/UVIS,HST,F814W,OPTICAL,DESI-219.1501+21.1453,GALAXY;GRAVITATIONAL LENS,ifpi86010,219.1501,21.1453,3,61088.1926998032,696,61088.67782399,SNAP
science,HST,CALACS,ACS/WFC,HST,F502N,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,jfme02jrq,10.56057529358,85.25964211168,3,61082.1231387731,350,61082.22028936,CAL/WFC3
science,HST,CALACS,ACS/WFC,HST,F606W,OPTICAL,GBTDS-HD121,UNIDENTIFIED;BULGE;LOW LATITUDE FIELD,jfhl41020,267.3942140194,-30.16100665508,3,61088.1443201389,680,61088.61644663,GO
science,HST,CALACS,ACS/WFC,HST,F658N,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,jfrp16010,270.6958218425,-23.14587076488,3,61093.4878620023,2160,61274.71157396,GO/DD
science,HST,CALWF3,WFC3/UVIS,HST,F656N,OPTICAL,NGC4192-N,GALAXY;SPIRAL,ifoq41020,183.4320516667,14.93582222222,3,61088.6355935185,2130,61089.02321752,GO
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,KOI-3476,STAR;G V-IV,if8l02jfq,298.3720453761,41.29334581716,3,61088.7216825579,223.73819,61270.18217588,GO
science,HST,CALACS,ACS/WFC,HST,F814W,OPTICAL,DELVE1-NORTH,STELLAR CLUSTER;GLOBULAR CLUSTER,jfhe04010,247.7230650005,-0.9549686753401,3,61092.8955815972,3806,61274.1182755,GO
science,HST,CALACS,ACS/WFC,HST,FR459M,OPTICAL,J1154,GALAXY;DWARF COMPACT;STARBURST,jfgv07020,178.7035416667,24.72584166667,3,61097.5865771644,2022,61278.97064805,GO
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,KOI-3476,STAR;G V-IV,if8l02kcq,298.3717439777,41.29172650529,3,61088.9255370023,223.73819,61270.1821643,GO
science,HST,CALWF3,WFC3/UVIS,HST,F625W,OPTICAL,P330E,CALIBRATION;PHOTOMETRIC,ifqj12090,247.8908111477,30.14594122081,3,61084.2206164699,4,61084.64040501,CAL/WFC3
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,KOI-3476,STAR;G V-IV,if8l02khq,298.372045376,41.29334581682,3,61088.9407566319,223.73819,61270.18234949,GO
science,HST,CALACS,ACS/SBC,HST,F150LP,UV,J1331+4151,GALAXY;STARBURST,jfec07040,202.8619995833,41.8634,3,61097.1538126157,1640,61278.52888886,GO
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,KOI-3476,STAR;G V-IV,if8l02kmq,298.372045376,41.29334581675,3,61088.9878170139,223.73819,61270.18223375,GO
science,HST,CALWF3,WFC3/UVIS,HST,F656N,OPTICAL,HH-399,ISM;HERBIG-HARO OBJECT,ifrp16hiq,270.6184601401,-23.07336100079,3,61093.4988805556,500,61274.66689808,GO/DD
science,HST,CALACS,ACS/WFC,HST,F606W,OPTICAL,ANY,UNIDENTIFIED;PARALLEL FIELD,jfoq74s5q,192.1769658585,8.430300285153,3,61097.7387645833,490,61097.95366885,GO
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,KOI-3476,STAR;G V-IV,if8l02jtq,298.3720453761,41.29334581704,3,61088.7978518171,223.73819,61270.18203699,GO
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,KOI-3476,STAR;G V-IV,if8l02k7q,298.372045376,41.29334581692,3,61088.8753518171,223.73819,61270.18230319,GO
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,KOI-3476,STAR;G V-IV,if8l02jgq,298.3717439778,41.2917265056,3,61088.7247266551,223.73819,61270.18217588,GO
science,HST,CALWF3,WFC3/UVIS,HST,F502N,OPTICAL,HH-399,ISM;HERBIG-HARO OBJECT,ifrp16hgq,270.6184601401,-23.07336100079,3,61093.4901305556,600,61274.66614581,GO/DD
science,HST,CALWF3,WFC3/UVIS,HST,F336W,OPTICAL,NGC-4631,GALAXY;STARBURST,if7p58010,190.5341610735,32.54158764444,3,61097.6532901968,2370,61278.79670131,GO
science,HST,CALACS,ACS/WFC,HST,F475W,OPTICAL,GMP2640-TAIL,ISM;TIDAL TAIL,jfal09010,195.1940377564,27.53248479868,3,61097.7854170949,1992,61279.75203694,GO
science,HST,CALWF3,WFC3/IR,HST,G141,INFRARED,KOI-3476,STAR;G V-IV,if8l02k1q,298.3717439777,41.29172650539,3,61088.8601318287,223.73819,61270.18211801,GO
science,HST,CALWF3,WFC3/IR,HST,F139M,INFRARED,KOI-3476,STAR;G V-IV,if8l02010,298.371747178,41.2917436994,3,61088.7208262732,100.489081,61270.32207178,GO
